solicitante_id,nombre_completo,tipo_documento,numero_documento,fecha_nacimiento,numero_celular,correo_electronico,nivel_estudio,profesion,estado_civil,personas_a_cargo,id,direccion_residencia,tipo_vivienda,barrio,departamento,estrato,ciudad_gestion,id_economic_activity,actividad_economica,empresa_labora,fecha_vinculacion,direccion_empresa,telefono_empresa,tipo_contrato,cargo_actual,id_financial_info,ingresos,valor_inmueble,cuota_inicial,porcentaje_financiar,total_egresos,total_activos,total_pasivos,id_product,tipo_credito,plazo_meses,segundo_titular,observacion,estado,informacion_producto,id_solicitud,asesor_id,banco,created_at
113,FERNANDO PRUEBA,CC,12312312412,2001-03-22,655252565,fernando@gmail.com,tecnico,Emperador,soltero,4,79.0,cl 5 # 43,propia,Camino real,Atlantico,2.0,Manatí,75.0,emperador del imperio,emperador,2025-03-07,mi casa,2321424124,indefinido,emperador,71.0,12331.0,1212312.0,1231231.0,1212312.0,1231231.0,123123.0,1231231.0,67.0,hipotecario,2.0,True,ninguna por hoy,Radicado,,53.0,6.0,davivienda,2025-03-19T17:03:13.66456+00:00
115,Fernando Oliveros|,CC,21312312312,2025-03-22,21334212412,foliverosocampo0322@gmail.com,primaria,profe,soltero,2,80.0,cl 5a # 3-57,propia,camino real,atlantico,2.0,Manati,76.0,profe,profe sa,2025-03-01,cl 5a 3 57,23441242,servicios,profe,72.0,3456789.0,24567890.0,348908090.0,67980.0,67867867.0,9870890.0,67969679.0,68.0,hipotecario,2.0,True,holaaaaa,Radicado,"{'ciudad': 'BARRANQUILLA', 'plazo_anios': '7 años', 'edad_cliente': '30', 'tipo_vivienda': 'Nueva', 'actividad_economica': 'Empleado'}",54.0,6.0,bancolombia,2025-03-21T15:54:32.288729+00:00
119,Josefo Rodriguez,CC,1127593333,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,83.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,79.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,75.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,71.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,57.0,10.0,BBVA,2025-03-22T01:52:45.776189+00:00
121,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,85.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,81.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,77.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,73.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,59.0,10.0,BBVA,2025-03-22T01:57:13.293184+00:00
122,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,86.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,82.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,78.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,74.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,60.0,10.0,BBVA,2025-03-22T01:57:43.242497+00:00
124,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,88.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,84.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,80.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,76.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,62.0,10.0,BBVA,2025-03-22T02:02:24.122523+00:00
126,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,90.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,86.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,82.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,78.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,64.0,10.0,BBVA,2025-03-22T02:04:41.923476+00:00
128,Josefo Pérez,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,92.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,88.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,84.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,80.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,66.0,10.0,BBVA,2025-03-22T02:08:04.842998+00:00
131,Prueba ,CC,1221412,2025-03-06,3423423,fer@gmail.com,primaria,inge,casado,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Jean Trujillo,CC,1127555555,2025-03-26,31131096666,jeantpdev@gmail.com,primaria,Ingeniero,soltero,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,lia carpolida oliveros olivero,CC,0001,2020-03-18,3004525528,mary18032020@gmail.com,profesional,odontologa,casado,2,97.0,calle 74 #18-03,propia,el amor,18,-10.0,manati atlantico,93.0,maravillosa,tu chapa.com,2020-12-03,calle 50 #68,001803,fijo,odontologa,89.0,10000000.0,500000000.0,-200.0,-5.0,-2.0,-5.0,-5.0,85.0,vehiculo,-3.0,False,ninguna,Radicado,"{'ciudad': 'MANATI', 'edad_cliente': '24', 'cuota_inicial': 'Sí', 'tipo_vehiculo': 'Nuevo', 'costo_vehiculo': '10000000', 'actividad_economica': 'Independiente'}",71.0,6.0,bancolombia,2025-03-27T00:43:26.918784+00:00
